Date,Site,d13CDIC,DIC,Temp,pH
2006/06/07,1,-17.5476362686917,89.6963442840954,5.7,5.36
2006/06/07,2,-21.7401837027398,196.419365200036,5.4,4.925
2006/06/07,3,-24.8592038798828,457.153193945857,4.5,3.953
2006/06/07,4,-21.2483771504632,394.426624194472,6.5,4.286
2006/06/07,5,-22.7044096935329,133.708876893681,13.3,4.88
2006/06/07,6,-19.8989962667823,106.359699380088.9,5.407
2006/06/07,7,-21.1198459286586,103.161278646433,4.8,4.773
2006/06/07,8,-19.7970219833636,119.732314335774,4.8,5.178
2006/06/07,9,-18.6317195325814,124.467406483365.6,5.811
2006/06/07,10,-20.9846666081163,115.717909169138,6.4,5.11
2006/06/07,12,-18.8576253313955,90.3348372126761,2.7,5.453
2006/06/07,13,-20.4519711515776,161.267708801734,4.2,5.602
2006/06/07,14,-16.3135833594399,187.451279355222,7.8,6.246
2006/06/07,15,-14.3983458868728,113.082339011517.7,6.352
2006/06/07,16,-14.9374993989973,210.485864728294.8,6.507
2006/08/09,4,-12.4299902674992,1236.93657910458,10.6,6.26
2006/08/09,6,-17.0674055049791,518.862179474146,10.2,6.71
2006/08/09,8,-14.5479376841644,180.810513708318,11.1,6.94
2006/08/09,10,-17.6105271443211,332.386187192357,11.6,6.61
2006/08/09,13,-21.0782177372161,665.931989108926,13.8,6.13
2006/08/09,14,-13.7261177163458,368.817860401303.11,6.78
2006/08/09,15,-10.7978554806456,263.215968015076,12.2,7.12
2006/08/09,16,-14.2961852975056,481.359090925321,10.1,7.36
2006/08/09,18,-24.1803624541545,511.375886765058,12.1,4.81
2006/08/09,20,-14.1185403424924,416.205791359321,8.1,7.15
2006/11/01,1,-17.256004266488,87.8262643202523,-0.2,5.386
2006/11/01,2,-21.1736025668152,205.408219895797,0.5,4.91
2006/11/01,3,-23.8896418673929,552.810385603476.4,3.826
2006/11/01,4,-19.3261824161847,362.806437749717,0.7,4.115
2006/11/01,5,-19.6837721114456,111.402110526776,0.3,4.77
2006/11/01,6,-20.757970363589,117.081045947325.0,5.522
2006/11/01,7,-19.3447371055884,94.7857184996591,-0.3,4.629
2006/11/01,8,-19.855219007119,151.976263227178,0.3,5.386
2006/11/01,9,-17.5833619222719,135.675808736152.0,5.911
2006/11/01,10,-18.4284160916307,119.705082705412,0.1,5.218
2006/11/01,12,-20.9590623213605,92.5967227138882,0.3,5.055
2006/11/01,13,-21.414296849282,220.194114521924,0.3,5.529
2006/11/01,14,-16.1354145229508,198.895912684194,-0.2,6.444
2006/11/01,15,-15.2142692871045,148.266922525669,0.3,6.446
2006/11/01,16,-20.0435451897737,292.649540705504,0.7,6.508
2006/11/01,17,-17.9430735698653,931.023481436714,4.4,4.314
2006/11/01,18,-20.7217843838599,385.488370755251.3,4.314
2006/11/01,20,-15.2109977991434,308.043137454048,0.4,6.713
